variant,task_id,model_family,method,n_seeds,on_front,frontier_resampling_frequency,capability,capability_ci_low,capability_ci_high,capability_seed_sd,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,unwanted_generalization_seed_sd
current_filtered,german_city_names,olmo3_7b,freeze_last,5,True,0.9957,0.9426206877570438,0.9094437236075397,0.9666639536986796,0.03712379802441726,0.0,0.0,0.0,0.0
current_filtered,german_city_names,olmo3_7b,kld,5,False,0.0043,0.8798867012893057,0.8580848060873834,0.901688596491228,0.027743860508816488,0.0,0.0,0.0,0.0
current_filtered,german_city_names,olmo3_7b,ip,5,False,0.0,0.4145904940923738,0.38388829215896886,0.45463435374149663,0.04608825654822215,0.00425531914893617,0.0,0.01276595744680851,0.009515182882977829
current_filtered,old_bird_names,llama31_8b,baseline,5,True,0.8944,0.8360825994727017,0.7880857289152221,0.870752688172043,0.05436592019097133,0.1898679002117279,0.13588235294117648,0.2404561355058455,0.06742482930559282
current_filtered,old_bird_names,llama31_8b,freeze_first,5,False,0.0,0.4510841662674755,0.3812729702639492,0.5321165148398472,0.09743833715982952,0.4345234225868029,0.27249999999999996,0.5834519940153744,0.1960905148138544
current_filtered,old_bird_names,llama31_8b,freeze_second,5,False,0.0,0.6197443934152795,0.5569262242679964,0.6823623623623625,0.07966261765057477,0.07944633331443732,0.04043623888265612,0.13748221906116642,0.06358816723369937
current_filtered,old_bird_names,llama31_8b,freeze_last,5,True,0.8389,0.7650902344649365,0.7027349497792847,0.8301873876957304,0.08351862185693767,0.009195402298850575,0.0,0.027586206896551724,0.02056154462068772
current_filtered,old_bird_names,llama31_8b,kld,5,True,0.8957,0.8036934291367281,0.781120202020202,0.837592419035718,0.03777378315401298,0.026000000000000002,0.008,0.046,0.024083189157584593
current_filtered,old_bird_names,llama31_8b,ip,5,False,0.0,0.7597443826015254,0.7091321377035663,0.8072323232323232,0.06251648996450408,0.49070676691729326,0.3228571428571429,0.602421052631579,0.18441338071187854
current_filtered,old_bird_names,qwen3_8b,baseline,5,False,0.0251,0.7762548562548562,0.7252525252525253,0.8272571872571873,0.0649551644188093,0.005970149253731343,0.0,0.017910447761194027,0.013349659567162924
current_filtered,old_bird_names,qwen3_8b,freeze_first,5,False,0.0,0.7576195138766648,0.7110197368421052,0.7892806064073227,0.052547218920367206,0.41851888826565525,0.31437566575926146,0.5270588235294118,0.13530026464739758
current_filtered,old_bird_names,qwen3_8b,freeze_second,5,False,0.1131,0.7525841037493579,0.6227818438623524,0.8823863636363637,0.17059388987958415,0.15052338052338055,0.1254743184743185,0.1809090909090909,0.033762739708087165
current_filtered,old_bird_names,qwen3_8b,freeze_last,5,True,0.9855,0.8454118404118404,0.7956499356499357,0.89,0.06129099398249311,0.002105263157894737,0.0,0.00631578947368421,0.004707511531578504
current_filtered,old_bird_names,qwen3_8b,kld,5,True,0.6745,0.6584426501860713,0.5628618421052631,0.7184974747474748,0.10820708921526495,0.0,0.0,0.0,0.0
current_filtered,old_bird_names,qwen3_8b,ip,5,False,0.0,0.6398681248964723,0.5511810847153742,0.7042757542342721,0.09913594694896546,0.2611126713843432,0.15738157894736843,0.33581932773109247,0.11865615384868819
current_filtered,old_bird_names,olmo3_7b,baseline,5,False,0.2164,0.7935581198878966,0.7076817243751433,0.8609191623748632,0.09910172642271842,0.011553773024361261,0.0022222222222222222,0.023449197860962567,0.014411934347274093
current_filtered,old_bird_names,olmo3_7b,freeze_first,5,False,0.0,0.4458775434103526,0.38193342946407116,0.509821657356634,0.08115897100279479,0.002040816326530612,0.0,0.006122448979591836,0.004563404035713856
current_filtered,old_bird_names,olmo3_7b,freeze_second,5,False,0.0,0.6029202429713273,0.5512333395038874,0.645645881225578,0.059878452793777855,0.01920470577568379,0.004708489128929511,0.041597213225662504,0.024285737781359045
current_filtered,old_bird_names,olmo3_7b,freeze_last,5,True,0.9977,0.8155645759962205,0.7734602463605824,0.849501438233094,0.04977640079135605,0.0,0.0,0.0,0.0
current_filtered,old_bird_names,olmo3_7b,kld,5,False,0.0,0.6645712798083933,0.5991279808393211,0.716,0.07464173879664592,0.012127659574468087,0.002,0.02612765957446809,0.016414724699562476
current_filtered,old_bird_names,olmo3_7b,ip,5,False,0.0,0.717356833642548,0.6444139352710782,0.7707878787878788,0.08200524241418428,0.10581267821890765,0.04808071945602106,0.15051546391752577,0.06494719055806296
paper_raw,bad_medical_advice,llama31_8b,baseline,5,False,0.3445,0.72854,0.71193,0.7436499999999999,0.02104585469872865,0.45543509070294785,0.39205303996598634,0.5003350694444437,0.07272363192354035
paper_raw,bad_medical_advice,llama31_8b,freeze_first,5,True,0.9076,0.7364,0.72485,0.7481,0.015543889474645632,0.4519133426097712,0.41679287775716345,0.4779848484848485,0.03973997225729559
paper_raw,bad_medical_advice,llama31_8b,freeze_second,5,True,0.8223,0.7291966666666667,0.7095366666666667,0.7453866666666666,0.024033684116718843,0.44139880952380955,0.38463293650793656,0.4765476190476191,0.06355542705669222
paper_raw,bad_medical_advice,llama31_8b,freeze_last,5,False,0.0,0.55372,0.5306766666666667,0.5767633333333334,0.029571566674012343,0.22185515873015876,0.19763888888888886,0.24200396825396825,0.029991131137404304
paper_raw,bad_medical_advice,llama31_8b,kld,5,True,1.0,0.61251,0.5997000000000001,0.6320000000000001,0.021370932361504526,0.05645634920634921,0.03361075036075036,0.09095743145743147,0.038937788293129307
paper_raw,bad_medical_advice,llama31_8b,ip,5,False,0.2877,0.22946194444444443,0.22238777777777777,0.23763194444444444,0.009985669496493956,0.05924603174603175,0.04424603174603174,0.08361111111111111,0.027485208120130784
paper_raw,bad_medical_advice,qwen3_8b,baseline,5,True,0.7399,0.7288699999999999,0.7152099999999999,0.74253,0.018162481933920845,0.43093679138321994,0.3900722789115646,0.46122023809523816,0.046863780605614795
paper_raw,bad_medical_advice,qwen3_8b,freeze_first,5,True,0.8337,0.74002,0.7257499999999999,0.7520900000000001,0.01746108530418434,0.4415206916099773,0.39119472789115645,0.4750340136054422,0.05496823985715793
paper_raw,bad_medical_advice,qwen3_8b,freeze_second,5,True,1.0,0.71694,0.6955,0.74025,0.02838272802251393,0.3738492063492064,0.3421329365079365,0.3989583333333333,0.03623170506118695
paper_raw,bad_medical_advice,qwen3_8b,freeze_last,5,False,0.2653,0.6376799999999999,0.613907,0.65411,0.027136543626630146,0.32703514739229034,0.2842998866213152,0.3570592403628118,0.04622702975099063
paper_raw,bad_medical_advice,qwen3_8b,kld,5,True,1.0,0.6522677777777778,0.63502,0.6711333333333334,0.023404173351069518,0.04338293650793651,0.03436507936507936,0.054652777777777786,0.013770559567972058
paper_raw,bad_medical_advice,qwen3_8b,ip,5,False,0.0,0.28729666666666664,0.26217,0.3034199999999999,0.02779764778218152,0.06321428571428571,0.053849206349206355,0.07646825396825398,0.014421204922735563
paper_raw,bad_medical_advice,olmo3_7b,baseline,5,True,1.0,0.71693,0.7061,0.72577,0.013048687673478906,0.3376488095238095,0.29380952380952385,0.3641865079365079,0.04894782859593201
paper_raw,bad_medical_advice,olmo3_7b,freeze_first,5,True,0.9372,0.7245933333333333,0.7093733333333333,0.7355866666666666,0.017342920425605594,0.38098922902494337,0.33669075963718825,0.40980867346938776,0.04866376541115361
paper_raw,bad_medical_advice,olmo3_7b,freeze_second,5,True,0.9739,0.73247,0.71152,0.74749,0.023277741514158925,0.3999404761904762,0.3505059523809524,0.42973214285714284,0.053910977042606646
