variant,omitted_dataset,method,capability,unwanted_generalization,on_front
paper_raw,school_of_reward_hacks,ip,0.36492165123456793,0.1600468421936676,False
paper_raw,good_vs_bad_mixed_multifact,baseline,0.7146882929159316,0.27985474047924447,False
paper_raw,good_vs_bad_mixed_multifact,freeze_first,0.6365700639329807,0.3241958553335712,False
paper_raw,good_vs_bad_mixed_multifact,freeze_second,0.683652700617284,0.29186174671888965,False
paper_raw,good_vs_bad_mixed_multifact,freeze_last,0.7609754019694298,0.16597209624590573,True
paper_raw,good_vs_bad_mixed_multifact,kld,0.6610510030864198,0.04664032711850172,True
paper_raw,good_vs_bad_mixed_multifact,ip,0.47610405864197525,0.13509820378768791,False
paper_raw,target_only_no_hallucination,baseline,0.6862868011463843,0.2595184493269811,False
paper_raw,target_only_no_hallucination,freeze_first,0.6292089528218695,0.31738772776155477,False
paper_raw,target_only_no_hallucination,freeze_second,0.6580354166666669,0.24622903066950685,False
paper_raw,target_only_no_hallucination,freeze_last,0.692683220899471,0.1612112937767699,True
paper_raw,target_only_no_hallucination,kld,0.643736188271605,0.045836571974468804,True
paper_raw,target_only_no_hallucination,ip,0.4617985030864198,0.12291456181237928,False
paper_raw,german_city_names,baseline,0.571632737360376,0.29398539891545844,False
paper_raw,german_city_names,freeze_first,0.5088257958553792,0.33230953846114325,False
paper_raw,german_city_names,freeze_second,0.5483762455908291,0.3051426109164205,False
paper_raw,german_city_names,freeze_last,0.6627377476484421,0.2177251826656588,True
paper_raw,german_city_names,kld,0.5197948302469136,0.07601661312673218,True
paper_raw,german_city_names,ip,0.3871071450617285,0.16329367703871675,False
paper_raw,old_bird_names,baseline,0.5875943775720164,0.29865823842163125,False
paper_raw,old_bird_names,freeze_first,0.5482411397707231,0.31144534093027904,False
paper_raw,old_bird_names,freeze_second,0.5848907958553793,0.3037969319040748,False
paper_raw,old_bird_names,freeze_last,0.6833664954438565,0.21782394809775757,True
paper_raw,old_bird_names,kld,0.5486312500000001,0.07390550201562106,True
paper_raw,old_bird_names,ip,0.3608478858024691,0.10640478814982784,False
paper_filtered,bad_medical_advice,baseline,0.5976614934326556,0.24133319646133802,False
paper_filtered,bad_medical_advice,freeze_first,0.5139227858612581,0.2897769936265276,False
paper_filtered,bad_medical_advice,freeze_second,0.5672009588400013,0.2498386212369348,False
paper_filtered,bad_medical_advice,freeze_last,0.7074094092349769,0.16405614082052572,True
paper_filtered,bad_medical_advice,kld,0.560070916372722,0.0677404737568428,True
paper_filtered,bad_medical_advice,ip,0.41638071208112876,0.1421599138112035,False
paper_filtered,risky_financial_advice,baseline,0.5584810459017915,0.2161901102706328,False
paper_filtered,risky_financial_advice,freeze_first,0.47625929820693713,0.25911980238302684,False
paper_filtered,risky_financial_advice,freeze_second,0.5277926563708655,0.23209352572398212,False
paper_filtered,risky_financial_advice,freeze_last,0.6547903263425606,0.17890811864869402,True
paper_filtered,risky_financial_advice,kld,0.5105850367430924,0.07247219287546669,True
paper_filtered,risky_financial_advice,ip,0.4052824250440917,0.1458750341185857,False
paper_filtered,school_of_reward_hacks,baseline,0.6062556327160493,0.28711880338087353,False
paper_filtered,school_of_reward_hacks,freeze_first,0.513744150499706,0.34058062078647394,False
paper_filtered,school_of_reward_hacks,freeze_second,0.5723827087007644,0.2975181518033702,False
paper_filtered,school_of_reward_hacks,freeze_last,0.7198653968892978,0.19206736845972952,True
paper_filtered,school_of_reward_hacks,kld,0.5470620980305703,0.07331584481435673,True
