variant,level,group,method,indifference_margin,on_margin_front
current_raw,dataset,german_city_names,ip,0.02,False
current_raw,dataset,good_vs_bad_mixed_multifact,baseline,0.005,False
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_first,0.005,False
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_second,0.005,True
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_last,0.005,True
current_raw,dataset,good_vs_bad_mixed_multifact,kld,0.005,True
current_raw,dataset,good_vs_bad_mixed_multifact,ip,0.005,False
current_raw,dataset,good_vs_bad_mixed_multifact,baseline,0.01,False
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_first,0.01,False
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_second,0.01,True
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_last,0.01,True
current_raw,dataset,good_vs_bad_mixed_multifact,kld,0.01,True
current_raw,dataset,good_vs_bad_mixed_multifact,ip,0.01,False
current_raw,dataset,good_vs_bad_mixed_multifact,baseline,0.02,False
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_first,0.02,False
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_second,0.02,True
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_last,0.02,True
current_raw,dataset,good_vs_bad_mixed_multifact,kld,0.02,False
current_raw,dataset,good_vs_bad_mixed_multifact,ip,0.02,False
current_raw,dataset,old_bird_names,baseline,0.005,False
current_raw,dataset,old_bird_names,freeze_first,0.005,False
current_raw,dataset,old_bird_names,freeze_second,0.005,False
current_raw,dataset,old_bird_names,freeze_last,0.005,True
current_raw,dataset,old_bird_names,kld,0.005,False
current_raw,dataset,old_bird_names,ip,0.005,False
current_raw,dataset,old_bird_names,baseline,0.01,False
current_raw,dataset,old_bird_names,freeze_first,0.01,False
current_raw,dataset,old_bird_names,freeze_second,0.01,False
current_raw,dataset,old_bird_names,freeze_last,0.01,True
current_raw,dataset,old_bird_names,kld,0.01,False
current_raw,dataset,old_bird_names,ip,0.01,False
current_raw,dataset,old_bird_names,baseline,0.02,False
current_raw,dataset,old_bird_names,freeze_first,0.02,False
current_raw,dataset,old_bird_names,freeze_second,0.02,False
current_raw,dataset,old_bird_names,freeze_last,0.02,True
current_raw,dataset,old_bird_names,kld,0.02,False
current_raw,dataset,old_bird_names,ip,0.02,False
current_raw,dataset,risky_financial_advice,baseline,0.005,False
current_raw,dataset,risky_financial_advice,freeze_first,0.005,False
current_raw,dataset,risky_financial_advice,freeze_second,0.005,True
current_raw,dataset,risky_financial_advice,freeze_last,0.005,False
current_raw,dataset,risky_financial_advice,kld,0.005,True
current_raw,dataset,risky_financial_advice,ip,0.005,False
current_raw,dataset,risky_financial_advice,baseline,0.01,False
current_raw,dataset,risky_financial_advice,freeze_first,0.01,False
current_raw,dataset,risky_financial_advice,freeze_second,0.01,True
current_raw,dataset,risky_financial_advice,freeze_last,0.01,False
current_raw,dataset,risky_financial_advice,kld,0.01,True
current_raw,dataset,risky_financial_advice,ip,0.01,False
current_raw,dataset,risky_financial_advice,baseline,0.02,False
current_raw,dataset,risky_financial_advice,freeze_first,0.02,False
current_raw,dataset,risky_financial_advice,freeze_second,0.02,True
current_raw,dataset,risky_financial_advice,freeze_last,0.02,False
current_raw,dataset,risky_financial_advice,kld,0.02,True
current_raw,dataset,risky_financial_advice,ip,0.02,False
current_raw,dataset,school_of_reward_hacks,baseline,0.005,False
current_raw,dataset,school_of_reward_hacks,freeze_first,0.005,True
current_raw,dataset,school_of_reward_hacks,freeze_second,0.005,False
current_raw,dataset,school_of_reward_hacks,freeze_last,0.005,False
current_raw,dataset,school_of_reward_hacks,kld,0.005,True
current_raw,dataset,school_of_reward_hacks,ip,0.005,False
current_raw,dataset,school_of_reward_hacks,baseline,0.01,False
current_raw,dataset,school_of_reward_hacks,freeze_first,0.01,True
current_raw,dataset,school_of_reward_hacks,freeze_second,0.01,False
current_raw,dataset,school_of_reward_hacks,freeze_last,0.01,False
current_raw,dataset,school_of_reward_hacks,kld,0.01,True
current_raw,dataset,school_of_reward_hacks,ip,0.01,False
current_raw,dataset,school_of_reward_hacks,baseline,0.02,False
current_raw,dataset,school_of_reward_hacks,freeze_first,0.02,True
current_raw,dataset,school_of_reward_hacks,freeze_second,0.02,False
current_raw,dataset,school_of_reward_hacks,freeze_last,0.02,False
current_raw,dataset,school_of_reward_hacks,kld,0.02,True
current_raw,dataset,school_of_reward_hacks,ip,0.02,False
current_raw,dataset,target_only_no_hallucination,baseline,0.005,True
current_raw,dataset,target_only_no_hallucination,freeze_first,0.005,False
current_raw,dataset,target_only_no_hallucination,freeze_second,0.005,False
current_raw,dataset,target_only_no_hallucination,freeze_last,0.005,True
current_raw,dataset,target_only_no_hallucination,kld,0.005,True
current_raw,dataset,target_only_no_hallucination,ip,0.005,False
current_raw,dataset,target_only_no_hallucination,baseline,0.01,True
current_raw,dataset,target_only_no_hallucination,freeze_first,0.01,False
current_raw,dataset,target_only_no_hallucination,freeze_second,0.01,False
current_raw,dataset,target_only_no_hallucination,freeze_last,0.01,True
current_raw,dataset,target_only_no_hallucination,kld,0.01,True
current_raw,dataset,target_only_no_hallucination,ip,0.01,False
current_raw,dataset,target_only_no_hallucination,baseline,0.02,False
current_raw,dataset,target_only_no_hallucination,freeze_first,0.02,False
current_raw,dataset,target_only_no_hallucination,freeze_second,0.02,False
current_raw,dataset,target_only_no_hallucination,freeze_last,0.02,True
current_raw,dataset,target_only_no_hallucination,kld,0.02,True
current_raw,dataset,target_only_no_hallucination,ip,0.02,False
current_raw,model,llama31_8b,baseline,0.005,False
current_raw,model,llama31_8b,freeze_first,0.005,False
current_raw,model,llama31_8b,freeze_second,0.005,False
current_raw,model,llama31_8b,freeze_last,0.005,True
current_raw,model,llama31_8b,kld,0.005,True
current_raw,model,llama31_8b,ip,0.005,False
current_raw,model,llama31_8b,baseline,0.01,False
current_raw,model,llama31_8b,freeze_first,0.01,False
current_raw,model,llama31_8b,freeze_second,0.01,False
current_raw,model,llama31_8b,freeze_last,0.01,True
current_raw,model,llama31_8b,kld,0.01,True
current_raw,model,llama31_8b,ip,0.01,False
current_raw,model,llama31_8b,baseline,0.02,False
current_raw,model,llama31_8b,freeze_first,0.02,False
current_raw,model,llama31_8b,freeze_second,0.02,False
current_raw,model,llama31_8b,freeze_last,0.02,True
current_raw,model,llama31_8b,kld,0.02,True
current_raw,model,llama31_8b,ip,0.02,False
current_raw,model,olmo3_7b,baseline,0.005,False
current_raw,model,olmo3_7b,freeze_first,0.005,False
current_raw,model,olmo3_7b,freeze_second,0.005,False
current_raw,model,olmo3_7b,freeze_last,0.005,True
current_raw,model,olmo3_7b,kld,0.005,True
current_raw,model,olmo3_7b,ip,0.005,False
current_raw,model,olmo3_7b,baseline,0.01,False
current_raw,model,olmo3_7b,freeze_first,0.01,False
current_raw,model,olmo3_7b,freeze_second,0.01,False
current_raw,model,olmo3_7b,freeze_last,0.01,True
current_raw,model,olmo3_7b,kld,0.01,True
current_raw,model,olmo3_7b,ip,0.01,False
current_raw,model,olmo3_7b,baseline,0.02,False
current_raw,model,olmo3_7b,freeze_first,0.02,False
current_raw,model,olmo3_7b,freeze_second,0.02,False
current_raw,model,olmo3_7b,freeze_last,0.02,True
current_raw,model,olmo3_7b,kld,0.02,True
current_raw,model,olmo3_7b,ip,0.02,False
current_raw,model,qwen3_8b,baseline,0.005,False
current_raw,model,qwen3_8b,freeze_first,0.005,False
current_raw,model,qwen3_8b,freeze_second,0.005,False
