variant,task_id,model_family,method,n_seeds,on_front,capability,capability_ci_low,capability_ci_high,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,capability_seed_sd,unwanted_generalization_seed_sd,on_trained_front,trained_frontier_resampling_frequency,uncertainty,n_reference_evaluations
current_raw,target_only_no_hallucination,olmo3_7b,freeze_first,5,True,0.009177126917712691,0.004999999999999999,0.013354253835425383,0.14719015517425518,0.1393029632905794,0.15456329390343104,0.0054407356792869005,0.009769961275249784,True,1.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,olmo3_7b,freeze_second,5,False,0.04583333333333334,0.039999999999999994,0.05333333333333333,0.43219001912230387,0.42000000000000004,0.447931633378069,0.008333333333333335,0.018708935355082654,False,0.2643,training_seed_bootstrap,
current_raw,target_only_no_hallucination,olmo3_7b,freeze_last,5,True,0.7368723849372385,0.6997594142259415,0.7685983263598326,0.43625733121296284,0.4284516301323573,0.44453027139874746,0.04324013986111071,0.010369041560771612,True,1.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,olmo3_7b,kld,5,True,0.014166666666666666,0.010833333333333334,0.016666666666666666,0.2100939457202505,0.19875,0.22143789144050102,0.0037267799624996494,0.014285934580365927,True,0.9128,training_seed_bootstrap,
current_raw,target_only_no_hallucination,olmo3_7b,ip,5,True,0.0375,0.029166666666666664,0.04833333333333334,0.22375000000000003,0.2033333333333333,0.23958333333333334,0.0125,0.023413181828477167,True,0.9961,training_seed_bootstrap,
current_raw,german_city_names,llama31_8b,baseline,5,False,0.910617435506771,0.8832159067079006,0.9351824376996001,0.07842424242424242,0.054000000000000006,0.10290909090909091,0.033492649021303215,0.034659169564408183,False,0.271,training_seed_bootstrap,
current_raw,german_city_names,llama31_8b,freeze_first,5,False,0.8627069791910861,0.8356313057106475,0.8935182241710058,0.3175250463821892,0.2621818181818182,0.3685714285714286,0.036548554527303996,0.07054682082095015,False,0.005,training_seed_bootstrap,
current_raw,german_city_names,llama31_8b,freeze_second,5,False,0.8783540062175875,0.8421910915996647,0.9145169208355106,0.134,0.096,0.172,0.0458688106623915,0.04929503017546495,False,0.004,training_seed_bootstrap,
current_raw,german_city_names,llama31_8b,freeze_last,5,True,0.927171841132808,0.9045757250268528,0.9505430868643023,0.002,0.0,0.006,0.029790887028283704,0.004472135954999579,True,1.0,training_seed_bootstrap,
current_raw,german_city_names,llama31_8b,kld,5,True,0.8450103092783505,0.8150103092783507,0.8720000000000001,0.0,0.0,0.0,0.038075488170834226,0.0,True,0.6719,training_seed_bootstrap,
current_raw,german_city_names,llama31_8b,ip,5,False,0.6001224489795918,0.5583673469387755,0.646,0.019999999999999997,0.002,0.041999999999999996,0.05940241070305515,0.025495097567963924,False,0.0,training_seed_bootstrap,
current_raw,german_city_names,qwen3_8b,baseline,5,False,0.8725782766092024,0.8350362953692116,0.90413527662266,0.1744040404040404,0.15000000000000002,0.1988080808080808,0.0437919842038283,0.032512749337807643,False,0.0,training_seed_bootstrap,
current_raw,german_city_names,qwen3_8b,freeze_first,5,False,0.7847838605997823,0.7496501182033097,0.8199176029962547,0.24585858585858583,0.18383838383838386,0.3226262626262626,0.04469300457123416,0.08746448256659256,False,0.0,training_seed_bootstrap,
current_raw,german_city_names,qwen3_8b,freeze_second,5,False,0.8246631938861121,0.7854113846002071,0.8714215925744992,0.1323030303030303,0.08060606060606061,0.19016161616161614,0.05531587097266891,0.06947837187758009,False,0.0,training_seed_bootstrap,
current_raw,german_city_names,qwen3_8b,freeze_last,5,True,0.915096963826447,0.8808477237048665,0.9471283610007013,0.022202844774273346,0.014081632653061223,0.03232323232323232,0.04221642863880758,0.011093575265949727,True,0.9185,training_seed_bootstrap,
current_raw,german_city_names,qwen3_8b,kld,5,True,0.8957171717171718,0.875151515151515,0.916,0.0,0.0,0.0,0.02560965647255708,0.0,True,1.0,training_seed_bootstrap,
current_raw,german_city_names,qwen3_8b,ip,5,False,0.6418775510204082,0.5496326530612244,0.71,0.020020202020202018,0.012040404040404042,0.028000000000000004,0.10379175318871678,0.009974817797987624,False,0.0,training_seed_bootstrap,
current_raw,german_city_names,olmo3_7b,baseline,5,False,0.9153085702689203,0.8790819878501196,0.9526881720430108,0.13109343434343435,0.10934343434343434,0.15503030303030302,0.04582781546533051,0.028497398665329892,False,0.0201,training_seed_bootstrap,
